,Rk,Name,Tm,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,Lng,R/G,Y/G,Fmb
220,221,,MIA,24.0,te,13,4,25,18,72.0%,127,7.1,1,22,1.4,9.8,1
221,222,Mike,CAR,30.0,fb/rb,16,3,23,18,78.3%,154,8.6,3,40,1.1,9.6,0
222,223,Trava,3TM,26.0,,7,1,22,17,77.3%,214,12.6,1,44,2.4,30.6,1
223,224,Dere,WAS,25.0,fb/TE/wr,12,11,22,17,77.3%,141,8.3,1,20,1.4,11.8,0
224,225,Chr,KAN,23.0,wr,16,5,31,17,54.8%,199,11.7,1,44,1.1,12.4,0
225,226,E,CAR,28.0,TE,16,11,26,17,65.4%,121,7.1,2,17,1.1,7.6,0
226,227,C.J. Fi,HOU,24.0,TE,16,14,24,17,70.8%,167,9.8,1,25,1.1,10.4,1
227,228,Khiry,NOR,26.0,,8,0,20,17,85.0%,115,6.8,0,22,2.1,14.4,0
228,229,De'Antho,KAN,22.0,wr,10,1,25,17,68.0%,140,8.2,1,36,1.7,14.0,2
229,230,Kenbrell ,NYJ,27.0,wr,7,2,33,17,51.5%,165,9.7,0,43,2.4,23.6,0
230,231,Nick,ATL,25.0,,14,0,25,17,68.0%,159,9.4,2,29,1.2,11.4,0
231,232,Luk,SEA,25.0,te,14,7,26,17,65.4%,213,12.5,1,24,1.2,15.2,0
232,233,Dwa,IND,25.0,TE,13,12,29,16,55.2%,109,6.8,1,21,1.2,8.4,0
233,234,Benn,DEN,24.0,wr,16,1,25,16,64.0%,203,12.7,0,41,1.0,12.7,0
234,235,,NOR,25.0,te,16,7,30,16,53.3%,120,7.5,2,19,1.0,7.5,0
235,236,Jere,NYJ,27.0,wr,16,1,26,16,61.5%,152,9.5,2,25,1.0,9.5,1
236,237,Marce,JAX,31.0,TE,16,16,37,16,43.2%,226,14.1,0,45,1.0,14.1,0
237,238,C,HOU,26.0,rb,15,2,28,16,57.1%,109,6.8,1,12,1.1,7.3,0
238,239,Jonatha,CAR,28.0,RB,13,13,21,16,76.2%,99,6.2,1,15,1.2,7.6,3
239,240,Ja,KAN,32.0,wr,16,1,24,15,62.5%,119,7.9,0,20,0.9,7.4,0
240,241,B,SFO,24.0,te,14,5,25,15,60.0%,186,12.4,0,48,1.1,13.3,0
241,242,Al,HOU,24.0,RB,15,9,16,15,93.8%,109,7.3,1,21,1.0,7.3,2
242,243,Andre ,ARI,26.0,db/rb,10,3,24,15,62.5%,148,9.9,0,32,1.5,14.8,1
243,244,Je,CIN,23.0,RB,16,15,19,15,78.9%,79,5.3,1,14,0.9,4.9,3
244,245,Ma,JAX,24.0,wr,10,1,32,15,46.9%,191,12.7,1,30,1.5,19.1,0
245,246,Ty M,GNB,22.0,wr,6,3,19,15,78.9%,136,9.1,2,31,2.5,22.7,0
246,247,Mar,BAL,24.0,wr,10,2,30,14,46.7%,112,8.0,0,22,1.4,11.2,0
247,248,Cl,JAX,28.0,te,15,2,20,14,70.0%,149,10.6,1,26,0.9,9.9,0
248,249,And,OAK,27.0,wr,16,1,33,14,42.4%,201,14.4,4,49,0.9,12.6,0
249,250,Darius,CLE,23.0,wr,4,1,21,14,66.7%,117,8.4,0,16,3.5,29.3,1
250,251,Keith,HOU,23.0,wr,16,3,32,14,43.8%,129,9.2,0,26,0.9,8.1,3
251,252,Bish,TEN,23.0,rb,13,3,22,14,63.6%,139,9.9,1,30,1.1,10.7,2
252,253,Jael,HOU,21.0,wr,10,1,24,14,58.3%,161,11.5,3,42,1.4,16.1,0
253,254,Mil,PHI,31.0,wr,11,1,31,13,41.9%,224,17.2,1,39,1.2,20.4,0
254,255,Patric,ATL,26.0,fb/rb,16,8,17,13,76.5%,110,8.5,2,19,0.8,6.9,0
255,256,Aar,NWE,24.0,wr,8,3,21,13,61.9%,141,10.8,0,24,1.6,17.6,0
256,257,Bruce ,SFO,24.0,,13,0,19,13,68.4%,153,11.8,0,44,1.0,11.8,3
257,258,Coop,SEA,26.0,te,13,2,22,13,59.1%,130,10.0,0,20,1.0,10.0,0
258,259,Marsh,SEA,29.0,rb,7,6,21,13,61.9%,80,6.2,0,19,1.9,11.4,0
259,260,Bradle,STL,,wr,16,1,22,13,59.1%,88,6.8,0,14,0.8,5.5,1
260,261,Chris,2TM,26.0,,13,0,25,13,52.0%,151,11.6,1,21,1.0,11.6,0
261,262,Brand,SDG,24.0,rb,8,1,15,13,86.7%,112,8.6,0,17,1.6,14.0,0
